Store,Dept,Date,Weekly_Sales,IsHoliday
43,2,2010-11-12,19492.98,False
39,10,2010-05-28,14571.95,False
14,56,2010-03-05,3152.88,False
38,9,2012-07-27,176.66,False
28,13,2010-09-03,44590.62,False
24,31,2011-04-29,1893.54,False
35,93,2011-03-18,1100.46,False
10,96,2011-12-02,11090.83,False
29,67,2011-07-08,4424.7,False
12,30,2012-04-20,7034.42,False
44,40,2012-05-11,15806.84,False
20,82,2011-07-22,27293.67,False
38,3,2011-11-25,309.05,True
8,17,2010-08-13,8372.72,False
3,33,2010-03-05,2519.14,False
18,58,2010-04-02,2740.0,False
15,7,2012-07-27,14664.2,False
45,14,2010-07-16,11123.21,False
39,9,2011-02-11,12002.19,True
36,26,2011-11-11,253.65,False
30,4,2010-08-06,13179.61,False
45,17,2010-08-20,10073.18,False
43,40,2011-02-25,19944.9,False
41,81,2011-02-11,18635.2,True
1,52,2010-03-12,2492.52,False
35,32,2010-07-02,10721.49,False
35,74,2010-10-22,18943.83,False
21,21,2010-05-14,3550.53,False
5,77,2011-12-30,-23.85,True
23,52,2011-12-30,2542.09,True
38,13,2012-07-06,11439.39,False
10,40,2012-06-08,97307.57,False
1,59,2011-06-03,155.44,False
9,35,2010-04-23,1185.0,False
24,29,2011-10-14,5203.99,False
41,83,2010-04-02,4797.15,False
28,26,2011-05-06,10177.62,False
13,19,2010-11-26,6329.98,True
4,95,2012-03-09,156195.67,False
33,6,2010-10-29,24.66,False
18,4,2010-08-27,32088.55,False
6,83,2011-01-28,3952.19,False
1,67,2012-08-24,5533.03,False
41,16,2011-10-21,5520.83,False
9,41,2011-05-06,773.0,False
1,96,2010-11-12,28019.2,False
37,25,2011-04-01,49.5,False
1,54,2011-12-30,120.18,True
9,71,2010-04-02,1402.58,False
23,96,2010-04-30,7341.6,False
34,42,2010-12-03,3815.74,False
26,52,2011-03-04,1166.92,False
45,67,2012-08-24,5044.03,False
41,26,2010-12-10,9626.11,False
5,18,2011-03-18,325.93,False
34,99,2012-09-14,0.03,False
17,91,2010-10-29,9873.38,False
6,54,2011-03-25,40.0,False
33,82,2012-07-06,3408.66,False
21,98,2011-08-19,20.86,False
4,4,2010-09-24,52942.57,False
16,24,2012-09-28,1908.31,False
9,17,2010-02-12,5138.22,True
29,27,2010-04-09,1561.0,False
1,60,2010-10-29,1038.4,False
12,34,2010-04-02,20614.29,False
23,19,2010-08-13,282.9,False
6,41,2010-08-06,2320.0,False
25,16,2011-06-17,32830.41,False
41,46,2011-07-15,29453.92,False
15,71,2011-08-05,5420.48,False
4,92,2012-02-10,186879.53,True
7,91,2012-10-19,9899.82,False
25,20,2012-01-27,2786.93,False
35,92,2010-06-11,45225.78,False
15,71,2010-06-04,3963.88,False
9,21,2011-05-27,3156.85,False
1,34,2011-04-29,9734.13,False
12,6,2011-04-01,9955.58,False
13,44,2011-11-18,11597.7,False
5,41,2011-10-07,932.5,False
23,7,2010-07-23,42028.23,False
13,71,2010-12-17,9503.02,False
31,59,2010-11-19,671.91,False
27,1,2011-10-28,64656.1,False
31,41,2011-07-15,597.5,False
12,97,2011-10-21,2198.47,False
4,23,2010-10-15,40355.48,False
15,91,2010-07-02,3523.24,False
8,31,2011-07-08,845.44,False
18,40,2011-06-03,59576.64,False
14,22,2011-06-03,15291.31,False
23,79,2012-01-20,27370.58,False
1,48,2012-10-19,784.0,False
32,56,2011-04-15,7539.23,False
23,72,2012-08-24,79128.7,False
31,44,2011-12-16,4589.15,False
15,21,2012-10-12,3018.05,False
33,87,2011-11-11,494.64,False
42,67,2010-02-26,957.01,False
25,71,2011-06-10,2824.2,False
20,27,2012-06-08,1841.54,False
26,49,2011-04-29,3052.23,False
37,92,2012-02-24,61683.26,False
20,10,2011-12-30,36671.47,True
15,49,2012-06-22,8068.26,False
10,40,2011-09-16,91755.68,False
44,85,2012-02-03,112.2,False
19,33,2010-08-20,7117.45,False
12,83,2012-09-14,207.6,False
14,8,2012-04-06,62112.68,False
4,4,2012-01-06,63913.83,False
28,16,2010-04-09,14001.02,False
39,59,2012-06-15,221.18,False
1,8,2011-05-20,35631.59,False
36,26,2010-10-15,242.5,False
1,26,2012-04-13,6095.14,False
10,49,2010-10-29,15805.38,False
20,94,2012-05-04,62955.43,False
44,60,2012-03-09,414.0,False
14,98,2010-05-14,21225.28,False
3,60,2012-09-28,216.0,False
39,25,2012-01-27,5220.48,False
24,54,2011-11-18,18.0,False
9,40,2012-09-21,29448.13,False
41,10,2012-07-06,20942.19,False
43,80,2012-09-14,16665.17,False
45,55,2010-02-05,9087.28,False
42,9,2011-12-16,52.66,False
5,16,2012-06-08,9980.4,False
23,38,2010-06-25,40462.74,False
24,46,2012-07-06,24225.68,False
11,33,2012-05-11,6086.78,False
28,10,2010-05-07,20258.55,False
45,92,2012-02-03,53303.71,False
22,11,2011-01-28,14592.19,False
26,30,2011-02-04,1933.82,False
34,1,2011-02-11,31104.35,True
29,87,2011-08-12,9522.8,False
26,72,2012-09-14,44645.36,False
21,34,2011-04-29,21205.24,False
41,8,2012-02-17,37454.0,False
25,11,2010-07-30,13381.18,False
1,3,2010-05-28,8412.69,False
40,27,2011-10-14,869.85,False
23,18,2011-08-26,62.07,False
29,58,2011-09-30,760.0,False
34,44,2012-06-08,2899.01,False
13,59,2011-11-25,1396.97,True
13,32,2012-02-03,8328.62,False
13,4,2011-07-08,45566.65,False
7,74,2011-01-28,8462.99,False
43,12,2010-04-09,127.58,False
29,3,2011-10-21,5946.96,False
3,24,2011-07-01,2260.61,False
41,28,2011-12-30,606.33,True
19,12,2011-07-01,8590.67,False
22,20,2011-05-27,8471.41,False
39,14,2010-12-31,23083.24,True
32,81,2010-03-05,16612.9,False
4,32,2011-04-15,11072.57,False
14,27,2011-12-16,4890.25,False
17,91,2010-03-19,9221.27,False
5,52,2012-07-06,457.82,False
43,32,2011-02-04,15.0,False
6,3,2010-06-25,11720.1,False
19,98,2010-12-10,15509.57,False
31,14,2011-11-18,21572.91,False
24,18,2011-08-26,92.1,False
44,97,2012-02-17,6217.88,False
11,87,2012-05-18,16644.73,False
18,42,2012-02-24,6923.37,False
17,8,2011-06-24,19327.05,False
30,42,2011-04-15,46.58,False
36,2,2010-10-01,15680.95,False
42,14,2011-06-17,1360.24,False
43,31,2010-10-15,33.0,False
2,87,2011-03-04,26183.26,False
26,38,2011-11-18,101540.61,False
15,58,2010-07-23,3070.0,False
5,27,2012-04-20,413.25,False
32,2,2012-02-17,51529.84,False
17,3,2010-11-05,12117.26,False
21,90,2010-04-09,10294.83,False
24,56,2011-07-08,3496.63,False
13,37,2012-04-13,2623.28,False
26,92,2011-08-12,93798.16,False
17,41,2012-06-15,196.0,False
1,13,2010-05-14,36499.93,False
15,19,2011-03-18,1355.96,False
25,52,2012-10-19,1283.55,False
40,37,2012-03-16,1953.38,False
25,35,2010-11-19,2793.08,False
6,1,2011-12-09,37087.04,False
44,91,2012-08-03,20715.64,False
31,35,2010-12-24,2818.0,False
3,17,2012-06-29,2158.61,False
44,80,2011-11-25,4283.02,True
36,31,2011-09-30,27.0,False
34,46,2010-06-25,17388.47,False
23,26,2010-04-16,14662.48,False
20,32,2010-07-09,12012.19,False
1,49,2012-03-16,14200.59,False
32,6,2011-09-23,2991.03,False
6,14,2010-10-08,21879.83,False
16,22,2011-06-17,5191.15,False
41,59,2010-12-10,3948.41,False
34,49,2011-07-15,4954.72,False
42,60,2012-05-18,288.0,False
32,17,2012-04-06,11140.77,False
33,16,2010-08-27,411.95,False
35,41,2010-03-26,1823.93,False
12,13,2011-06-24,44324.61,False
35,60,2012-09-21,54.0,False
23,30,2010-12-03,6535.06,False
23,27,2010-09-03,2767.91,False
31,36,2012-01-27,517.85,False
39,34,2012-05-18,22288.47,False
17,34,2012-01-27,4855.73,False
31,91,2011-08-26,69388.09,False
15,52,2010-06-18,1943.79,False
19,95,2012-05-25,102696.74,False
18,92,2012-10-05,79346.7,False
18,94,2012-07-06,10625.1,False
20,30,2010-07-30,7197.5,False
35,44,2010-02-26,1705.07,False
14,90,2011-06-10,112223.0,False
15,58,2011-03-11,170.0,False
30,92,2012-02-10,58411.17,True
34,40,2010-11-19,40397.08,False
12,44,2011-08-26,5527.74,False
27,21,2012-08-24,7613.41,False
10,95,2011-07-29,67863.97,False
2,95,2011-04-29,125106.75,False
17,12,2011-12-16,6426.93,False
31,7,2010-10-22,15141.42,False
22,17,2010-07-02,16335.02,False
15,72,2012-08-24,30285.95,False
2,18,2011-09-02,22.07,False
14,51,2012-06-29,14.04,False
8,38,2011-09-23,59993.02,False
35,91,2010-08-13,10064.8,False
2,96,2011-05-20,30433.2,False
30,16,2010-06-04,3943.97,False
40,22,2011-02-04,4638.75,False
22,97,2012-04-20,4108.26,False
9,34,2012-03-02,7095.94,False
24,96,2012-01-27,9791.29,False
11,13,2012-02-17,42335.98,False
21,31,2011-02-11,3036.72,True
11,9,2010-05-28,20934.81,False
11,31,2011-10-28,2979.73,False
9,71,2011-05-20,1620.15,False
31,14,2011-04-29,15194.36,False
33,23,2012-04-13,3.36,False
2,30,2010-07-23,6749.54,False
24,32,2012-08-17,5803.5,False
17,27,2012-03-16,1210.37,False
10,50,2012-06-15,4535.0,False
29,9,2011-07-29,14319.8,False
10,58,2011-06-24,5750.0,False
37,74,2012-03-30,677.39,False
7,2,2010-03-12,20262.36,False
39,26,2010-05-14,8242.44,False
42,97,2011-12-02,14719.88,False
32,91,2012-09-07,46995.07,True
8,59,2012-08-17,164.0,False
17,11,2011-12-09,18714.05,False
42,96,2010-12-31,15634.16,True
30,40,2010-04-16,24557.29,False
24,27,2012-07-13,1176.26,False
10,31,2010-04-09,5353.42,False
8,55,2011-07-22,6136.49,False
33,95,2011-07-22,25824.81,False
3,8,2011-12-23,9377.0,False
33,87,2011-08-05,164.96,False
31,95,2011-04-29,98167.03,False
31,22,2010-03-19,10477.17,False
23,80,2011-12-16,1919.87,False
22,54,2012-01-06,51.0,False
27,71,2010-09-17,9994.32,False
39,1,2012-06-01,19040.51,False
29,4,2011-12-30,14038.72,True
26,5,2010-11-19,19287.68,False
25,98,2011-12-30,873.77,True
18,94,2011-06-24,1687.54,False
18,56,2012-01-27,153.24,False
4,24,2010-08-27,10369.94,False
28,2,2010-02-12,65788.06,True
33,94,2010-12-24,24361.59,False
14,51,2010-05-21,85.72,False
14,8,2012-08-17,44660.96,False
23,8,2012-09-21,39004.04,False
6,3,2011-02-25,11976.97,False
8,95,2012-01-13,58702.4,False
24,67,2011-01-21,7184.2,False
25,4,2010-06-18,21613.38,False
1,26,2012-02-10,9120.37,True
13,45,2010-05-28,5.82,False
15,58,2012-06-15,840.0,False
9,6,2012-03-23,1625.38,False
10,29,2010-08-06,18079.41,False
17,4,2012-07-13,27421.67,False
33,11,2010-12-10,146.32,False
22,4,2012-07-27,32019.32,False
35,58,2010-09-24,5633.0,False
15,8,2012-03-09,18685.12,False
31,4,2010-02-26,32297.21,False
30,11,2011-02-11,1059.78,True
23,40,2010-09-03,70904.82,False
5,16,2012-02-10,3967.88,True
9,2,2010-09-10,21674.07,True
14,24,2012-05-25,10015.41,False
16,34,2010-08-20,4183.82,False
28,26,2010-10-01,10011.58,False
13,79,2010-05-28,51413.67,False
6,3,2012-02-24,12278.3,False
16,5,2012-05-18,7878.53,False
22,58,2010-12-10,2643.0,False
28,10,2010-10-22,19410.93,False
45,1,2010-10-08,16505.87,False
2,34,2012-07-27,15107.51,False
8,52,2010-11-26,3863.11,True
14,17,2011-06-10,20196.63,False
23,29,2010-05-21,9854.05,False
31,46,2012-08-03,28243.27,False
45,59,2011-12-23,5306.6,False
7,94,2012-06-08,915.51,False
23,46,2012-05-11,36604.47,False
43,80,2010-02-19,17337.51,False
43,85,2011-11-11,3.12,False
17,34,2010-03-19,7626.0,False
31,54,2011-08-05,56.88,False
41,60,2011-02-25,440.0,False
28,54,2012-10-05,4.88,False
13,8,2012-03-30,35231.66,False
12,60,2010-05-21,369.6,False
34,94,2012-03-30,36453.63,False
5,34,2010-12-10,3803.0,False
37,52,2011-12-30,24.59,True
7,54,2010-03-19,324.0,False
8,82,2010-08-06,13043.85,False
30,72,2012-01-27,85.85,False
43,21,2012-08-10,1846.66,False
26,45,2011-04-08,80.29,False
44,97,2011-03-11,5509.01,False
19,16,2012-08-03,29814.76,False
38,74,2011-12-02,342.67,False
40,87,2010-05-21,11905.27,False
3,56,2010-03-26,5253.32,False
4,22,2012-09-14,18309.76,False
27,79,2012-07-06,42627.39,False
41,24,2010-05-07,3195.16,False
25,81,2012-01-20,8780.35,False
33,93,2012-08-10,21064.27,False
10,1,2011-07-29,25612.31,False
37,6,2012-09-14,9.88,False
11,23,2010-02-12,39130.23,True
33,87,2012-05-04,274.52,False
24,58,2012-01-20,1695.0,False
22,56,2010-10-29,303.49,False
45,95,2011-03-04,58901.04,False
24,52,2010-11-19,1876.75,False
11,8,2011-04-15,35115.91,False
12,80,2010-06-11,26.48,False
6,74,2012-03-23,21153.11,False
10,11,2012-02-24,31394.88,False
33,25,2011-02-11,22.5,True
28,16,2011-10-07,3644.06,False
6,5,2012-03-09,31507.85,False
8,1,2011-08-19,9979.73,False
40,96,2011-05-13,13632.53,False
25,87,2012-07-20,7845.88,False
25,79,2012-10-12,8523.32,False
35,8,2010-08-27,18219.09,False
9,27,2011-03-04,870.69,False
31,23,2011-07-29,19536.98,False
10,4,2012-05-04,47588.04,False
4,9,2012-10-05,40168.61,False
18,4,2011-02-04,26461.48,False
44,11,2012-08-10,481.06,False
44,46,2011-01-21,5095.76,False
19,85,2012-08-24,4504.07,False
30,87,2011-12-16,194.72,False
15,26,2010-12-31,2525.15,True
34,87,2011-10-21,6222.07,False
15,82,2012-03-23,9406.23,False
12,81,2012-03-09,8080.37,False
14,22,2010-03-26,18152.61,False
22,21,2011-02-11,5471.12,True
38,74,2012-03-30,405.36,False
10,95,2010-06-11,90740.42,False
1,80,2012-08-17,20021.35,False
27,35,2010-06-11,3522.38,False
22,93,2011-12-09,2010.04,False
15,25,2011-07-08,8572.78,False
44,21,2012-05-04,911.84,False
26,42,2010-08-13,2886.27,False
15,27,2012-03-23,1516.18,False
41,8,2011-11-25,35938.11,True
11,12,2011-08-05,4452.0,False
14,19,2012-03-09,2052.14,False
22,59,2011-12-02,1808.57,False
19,49,2010-12-17,3379.27,False
28,18,2010-11-05,19598.56,False
3,21,2010-03-26,1109.76,False
30,96,2012-02-03,16392.51,False
32,81,2010-02-19,16201.58,False
19,32,2010-08-06,8929.05,False
22,10,2011-01-28,20356.8,False
36,46,2012-06-01,2515.72,False
9,12,2012-09-14,6060.15,False
43,38,2012-09-07,61015.87,True
29,80,2010-07-02,54.34,False
23,18,2010-03-05,908.35,False
45,81,2012-05-04,16156.6,False
21,21,2010-04-16,2928.3,False
39,10,2011-03-11,14353.5,False
26,35,2011-05-27,2289.0,False
6,48,2012-05-04,2564.0,False
33,41,2012-06-22,10.0,False
6,52,2011-08-12,2734.51,False
31,82,2011-01-21,16227.87,False
2,31,2012-02-24,3760.23,False
21,38,2010-05-14,45325.38,False
27,22,2010-10-15,21332.8,False
14,95,2011-07-22,151876.28,False
35,33,2010-03-05,14560.9,False
14,9,2012-07-27,20308.71,False
1,31,2012-05-04,1399.76,False
22,9,2010-02-12,17252.47,True
42,27,2012-07-06,66.9,False
44,20,2011-04-08,12.0,False
2,52,2010-02-19,4992.58,False
29,35,2012-05-25,3459.09,False
1,9,2011-03-11,27860.95,False
36,93,2010-11-05,32851.02,False
2,25,2010-10-08,14718.65,False
22,58,2010-02-05,5871.0,False
43,38,2011-03-04,60215.51,False
11,29,2011-11-11,11207.25,False
42,83,2012-04-13,5354.39,False
20,60,2010-12-31,448.8,True
30,25,2012-02-10,11.92,True
4,54,2012-10-05,28.92,False
39,11,2011-07-29,22172.43,False
39,12,2012-06-01,5774.44,False
5,74,2012-03-30,3458.42,False
22,19,2012-03-30,1293.43,False
25,49,2010-10-15,9069.68,False
43,40,2011-05-06,18397.5,False
1,74,2011-03-11,12333.35,False
42,46,2012-01-13,6315.23,False
17,93,2010-10-29,3786.21,False
17,11,2012-07-27,18023.98,False
15,41,2012-04-27,525.0,False
10,23,2011-07-29,61758.84,False
7,28,2012-05-11,125.44,False
7,87,2012-06-29,13101.85,False
11,33,2012-06-01,7388.58,False
36,55,2012-04-20,27.88,False
8,44,2010-12-03,5753.06,False
8,95,2010-10-22,57196.8,False
38,16,2011-11-04,622.66,False
27,28,2011-11-04,1095.6,False
25,95,2012-03-02,41507.78,False
12,9,2012-05-11,22857.42,False
10,18,2011-03-18,1951.72,False
1,81,2010-09-24,26864.57,False
19,54,2010-07-30,208.0,False
23,81,2012-08-10,7908.92,False
40,33,2012-07-13,2339.74,False
40,8,2011-05-27,32501.03,False
31,95,2012-08-31,107851.02,False
14,94,2010-12-03,48675.37,False
31,44,2011-01-28,1960.04,False
15,92,2012-08-24,18583.89,False
26,48,2012-10-19,775.0,False
28,3,2011-01-21,9992.16,False
45,54,2011-05-20,20.0,False
36,1,2012-09-21,2209.19,False
33,93,2010-10-01,24460.47,False
6,81,2010-04-09,18696.82,False
22,40,2011-07-01,51701.28,False
2,52,2012-10-05,3905.84,False
24,44,2011-02-04,3378.83,False
25,74,2012-03-02,10620.18,False
43,85,2010-07-30,99.58,False
39,79,2012-04-20,44406.37,False
42,9,2010-12-24,86.9,False
19,27,2012-02-24,2754.5,False
42,46,2010-11-26,5499.67,True
14,60,2010-12-31,149.6,True
23,29,2011-02-11,9879.86,True
6,52,2010-11-05,3918.08,False
2,56,2012-04-20,12984.59,False
38,83,2012-08-24,2259.34,False
2,41,2010-02-12,1890.97,True
8,5,2011-02-25,25775.53,False
8,11,2010-02-19,17227.66,False
42,52,2010-11-19,49.32,False
19,52,2012-01-06,1423.11,False
4,80,2011-05-20,20247.0,False
45,97,2012-08-10,6361.79,False
28,92,2012-06-15,85535.59,False
21,22,2010-04-16,6785.16,False
19,7,2012-07-27,25714.7,False
44,23,2011-04-08,9.77,False
35,30,2012-09-07,6267.59,True
20,99,2011-06-17,250.0,False
34,2,2010-09-03,36857.65,False
16,92,2010-03-19,16741.55,False
36,67,2011-01-21,593.28,False
25,38,2012-09-07,40868.85,True
15,98,2012-03-23,556.28,False
2,46,2011-06-24,30710.31,False
37,98,2011-08-05,4620.29,False
28,40,2010-11-26,43237.04,True
14,14,2011-06-10,21620.66,False
29,95,2010-10-08,30313.1,False
41,71,2011-06-03,4499.48,False
14,67,2012-04-06,19542.4,False
17,45,2011-08-19,12.44,False
35,79,2011-11-25,25916.36,True
30,6,2012-07-06,31.76,False
24,44,2011-04-01,3283.57,False
41,20,2010-04-23,4610.36,False
12,58,2012-03-23,4120.0,False
1,24,2011-08-19,14288.65,False
25,71,2012-07-20,3143.25,False
40,48,2010-02-12,1088.0,True
31,80,2012-09-14,20561.79,False
1,20,2011-08-19,4403.03,False
43,52,2010-04-16,53.89,False
25,58,2011-11-25,955.0,True
42,13,2011-10-14,16141.79,False
9,13,2011-09-16,20937.93,False
7,51,2010-05-07,38.8,False
29,79,2011-08-26,9463.84,False
29,81,2010-12-17,5223.07,False
24,42,2012-02-17,5317.23,False
1,98,2011-06-03,10403.06,False
35,5,2011-09-30,16856.25,False
18,60,2012-01-27,105.6,False
12,18,2011-04-08,948.55,False
8,19,2011-01-21,1919.17,False
3,29,2010-02-26,1438.0,False
19,16,2011-10-07,8807.79,False
15,78,2010-05-21,10.0,False
8,99,2012-10-19,0.03,False
23,95,2012-01-06,50474.69,False
26,34,2011-09-16,7751.68,False
10,30,2010-10-29,10299.64,False
30,17,2012-08-24,1.5,False
32,95,2011-05-20,88078.44,False
13,20,2012-10-12,6873.62,False
17,79,2010-04-30,26641.12,False
2,9,2011-01-21,17682.64,False
43,14,2011-06-24,1176.42,False
9,16,2011-05-06,17768.59,False
41,72,2010-11-26,290809.17,True
34,91,2012-01-13,37085.96,False
38,60,2012-06-22,342.0,False
37,96,2011-01-28,18416.18,False
44,42,2011-07-22,39.97,False
27,83,2012-10-12,8568.53,False
17,23,2012-08-03,15035.48,False
22,93,2010-07-02,3393.2,False
40,1,2010-12-03,21970.57,False
26,7,2010-02-12,12302.88,True
23,85,2011-02-11,3081.88,True
22,71,2012-01-13,4682.99,False
37,21,2010-10-29,1828.22,False
10,41,2010-10-08,15304.67,False
21,30,2012-04-20,4897.48,False
37,16,2011-07-22,2435.0,False
26,7,2011-09-16,9613.42,False
36,1,2011-08-19,2189.71,False
7,25,2011-02-11,4157.55,True
19,41,2010-05-14,905.85,False
38,32,2011-07-15,4.0,False
41,83,2012-08-03,3470.65,False
40,8,2010-04-02,35189.85,False
1,28,2012-06-01,352.99,False
20,41,2011-04-29,3131.5,False
7,87,2011-08-19,11826.16,False
35,21,2010-06-25,5168.55,False
42,27,2012-03-30,11.54,False
19,58,2011-08-26,1080.0,False
33,74,2012-02-10,413.84,True
15,22,2010-12-24,21101.3,False
7,24,2011-12-23,8200.22,False
12,27,2010-12-03,2906.94,False
30,18,2012-10-26,747.67,False
31,42,2010-07-30,5566.71,False
30,83,2011-09-23,1450.57,False
8,49,2011-02-18,2748.75,False
34,31,2011-03-18,807.25,False
24,28,2010-12-17,1131.56,False
28,30,2012-01-06,3247.22,False
39,6,2012-06-01,4987.2,False
13,18,2011-10-28,63550.37,False
22,12,2011-05-27,3729.37,False
45,56,2012-08-24,867.76,False
22,98,2010-07-23,122.0,False
43,40,2011-11-18,16964.16,False
2,95,2011-09-16,142322.71,False
8,16,2011-06-24,28754.92,False
41,38,2012-09-14,61117.98,False
20,28,2010-10-29,1925.03,False
12,67,2011-02-25,4941.95,False
1,59,2011-11-11,785.41,False
32,81,2011-07-15,17913.1,False
29,13,2010-12-03,18729.07,False
41,10,2012-03-16,14624.73,False
27,19,2012-07-13,1331.66,False
1,29,2011-01-28,3749.14,False
16,22,2011-11-11,8025.48,False
42,20,2011-07-22,88.0,False
3,25,2011-07-01,3554.54,False
37,98,2010-12-03,4800.3,False
7,9,2012-08-17,50206.31,False
3,11,2010-04-02,6308.37,False
9,14,2010-10-08,6310.7,False
5,21,2012-07-13,1077.72,False
43,82,2012-09-28,7071.09,False
21,33,2010-10-08,6836.48,False
38,4,2012-03-02,11323.5,False
36,91,2011-08-05,11238.8,False
20,16,2010-04-09,48060.04,False
23,38,2011-10-28,45668.05,False
30,1,2012-04-27,8332.21,False
39,91,2010-02-26,56242.7,False
14,10,2012-10-19,15584.84,False
22,60,2011-06-10,510.4,False
7,31,2011-02-18,1737.75,False
14,93,2012-07-06,74265.33,False
8,41,2012-06-01,547.35,False
3,49,2012-10-26,11.88,False
31,98,2010-04-09,10408.05,False
1,52,2010-07-16,1992.12,False
12,14,2012-01-13,17797.23,False
2,35,2012-08-31,2402.0,False
34,51,2012-06-08,7.92,False
34,30,2010-06-25,2170.26,False
9,42,2012-09-28,2966.18,False
4,67,2011-04-22,12661.14,False
22,42,2011-11-18,9135.65,False
33,21,2012-03-23,192.16,False
1,71,2010-08-13,2992.02,False
3,59,2011-10-07,49.9,False
18,24,2011-05-20,7794.19,False
10,6,2012-01-27,5237.41,False
14,19,2010-10-29,134.0,False
39,1,2012-10-19,36514.45,False
19,55,2010-06-11,11605.52,False
9,74,2011-11-18,6330.36,False
37,4,2012-10-05,18287.21,False
22,5,2010-04-02,45209.08,False
13,49,2012-01-27,7500.27,False
40,9,2011-07-01,32757.79,False
35,32,2011-02-18,12144.71,False
30,94,2011-12-23,23615.39,False
37,83,2011-01-07,3210.66,False
30,87,2012-08-24,329.8,False
1,95,2011-05-06,120882.84,False
34,52,2011-07-01,975.73,False
25,3,2010-08-13,21102.69,False
3,41,2010-02-19,493.54,False
7,31,2010-06-18,1252.06,False
31,80,2010-09-17,18302.97,False
20,32,2010-12-31,9772.96,True
19,72,2012-05-25,37236.53,False
39,42,2012-06-01,4662.7,False
12,59,2011-09-09,496.08,True
40,29,2010-05-14,2759.5,False
33,67,2010-05-28,489.97,False
42,87,2011-12-09,1130.9,False
1,38,2012-09-07,70644.8,True
10,44,2011-05-27,8216.35,False
15,6,2011-08-12,3899.37,False
2,1,2012-07-20,23813.13,False
13,85,2011-11-11,4052.09,False
21,29,2012-03-09,4995.35,False
19,90,2011-11-18,72933.42,False
21,14,2011-03-25,16336.6,False
30,52,2012-08-24,14.86,False
42,97,2012-04-13,19984.08,False
2,6,2012-10-26,5253.54,False
14,87,2011-08-19,19095.51,False
28,85,2011-12-23,2920.03,False
17,31,2011-07-01,1698.88,False
45,38,2011-06-24,47831.68,False
44,38,2010-08-13,44593.92,False
29,94,2011-12-23,181.48,False
29,18,2012-04-06,7087.8,False
25,6,2011-11-18,1883.51,False
17,47,2010-02-19,-17.74,False
9,72,2011-01-14,27256.03,False
32,91,2012-08-31,45405.24,False
32,2,2010-11-26,48045.58,True
10,2,2010-03-05,113163.91,False
45,10,2010-08-27,15516.77,False
28,95,2012-10-05,112944.1,False
10,91,2012-03-23,11578.56,False
